2019-05-29 01:51:54.623606:  1366 (HY000): Incorrect integer value: 'abc' for column 'count_used' at row 1
2019-05-29 01:52:13.882795:  1366 (HY000): Incorrect integer value: 'abc' for column 'count_used' at row 1
2019-05-29 02:08:58.918951:  Not all parameters were used in the SQL statement
2019-05-29 02:09:46.508406:  Not all parameters were used in the SQL statement
2019-05-29 02:11:12.575584:  1146 (42S02): Table 'websim.combo' doesn't exist
2019-05-29 02:11:32.396884:  1265 (01000): Data truncated for column 'created_at' at row 1
2019-05-29 02:12:59.765920:  1406 (22001): Data too long for column 'settings' at row 1
2019-05-29 02:13:34.508953:  1406 (22001): Data too long for column 'grade' at row 1
2019-05-29 02:14:16.190934:  1406 (22001): Data too long for column 'submitted' at row 1
2019-06-02 22:50:38.501799: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:39.376646: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:39.402563: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:39.440873: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:39.741739: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:40.023188: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:40.742826: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:40.763002: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:40.775276: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:44.228253: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:44.525075: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:45.048905: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:45.085539: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:45.104399: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:45.379074: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:45.779265: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:46.496300: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:46.503188: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:46.532509: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:49.886278: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:50.276841: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:50.754567: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:50.766989: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:51.138790: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:51.483416: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:52.239779: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:52.268878: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:52.269008: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:52.382118: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:55.599631: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:55.911337: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:56.415019: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:56.436553: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:56.808613: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:57.169458: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:57.898636: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:57.898891: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:57.952575: LOG    :  Python type Session cannot be converted
2019-06-02 22:50:58.011096: LOG    :  Python type Session cannot be converted
2019-06-02 22:51:01.430853: LOG    :  Python type Session cannot be converted
2019-06-02 22:51:01.516656: LOG    :  Python type Session cannot be converted
2019-06-02 22:51:02.145357: LOG    :  Python type Session cannot be converted
2019-06-02 22:51:02.151821: LOG    :  Python type Session cannot be converted
2019-06-02 22:51:02.448628: LOG    :  Python type Session cannot be converted
2019-06-02 22:51:02.888657: LOG    :  Python type Session cannot be converted
